pmid,title,authors,year,citation_count,references,abstract
5812f2f545ea7a3046f951975932befae16be9dc,,,,0,[],
fe0dd6bce6afe3e3f9842bf2f17742d44b64fab4,Heart rate variability analysis for the prediction of pre-arousal during propofol-remifentanil general anaesthesia: A feasibility study,Anne Wojtanowski; Maxence Hureau; Camille Ternynck; Benoît Tavernier; M. Jeanne; Julien De Jonckheere,2024.0,0,"['4e2273136f5ceb0346b1b1b10b5f08ccc50b633f', '7c986a5c94e147b0a23e29e5d31c00fb644bd8d9', '501173294beba3f7620dbc5a94537dfefb6b0019', 'dedade777e6f6ac29c73f6bb35dd1a59700a5789', '5e8c9d7ff58d9b3ce2bf44c998c126e5a8d8f582', 'bd975f106485413ecc63512d24817c91eece8854', '1f07651546b996dcc4b7225e7ddfae14b6ec16e6', 'e3ca22f8b25cb0231cc36b4d0dbf886e7b376dc3', '672d4d6be91bd4c69de26619018c2f8710a8aae5', '3a514d5bc7df7722d9028f2bf80986d8f7582fc3', '2629064254773ecc7fe5640c23785202bd65786c', '20dd6d0824fcb13c462da0af8ad1851e942bb237', '64506805d19aa2fd65d6bfdc651749d50fd2ff55', 'b9f11dbfc2c17bb2bbc237823f2beb1d6dc3d2bc', '303d5c4bd2de7d02f53f43b33ec92f50c91e67bd', 'dce8a2b496d0a7f9e901d51a99e417b827944b33', 'db44c264175b288ac05067762c5e5f6e386514c6', '02454a2b54efa685474d7242614205ff55d2a213', '25eb649b112c3be0a5bac4da13d745f6775ac6df', 'a14f422b121343781c6a310c698c14b37df89f7a', '39ea9d75337d39ef2464da4f65dcd3153aa8b7bd', '5c9bb6d7286a77cd93edd002d024b2608ce5ecdf', 'a7bef144201968ce53a28bede0ab79f29ecbe226', 'b0b72ea16dc89ea25393cb00c53ad873d4a28767', 'e888b5ee576256dfa74ef4cbc3284aa2af9f9d2a', 'e6f4648130e305ef2204c7fb86c23abf34108236', 'fa6db8af9e34ece1484f73e95e86d522e07dfb24', 'b9901a7028fd054c0e6fc4d2343f57e3b9bb7b4f', '0e9ea1e6435f87582adcecd6b56b6a6bd435b7bc', 'dd47b00755e0f272abba617a3656c1baba32aa43', '15107e493203c16d038fdb5495bd3580bc47e50c', '32e9642afb8698ecb6b714c3d9b047a24968face', '18dd7acb263f2d2d22d6958c8a786d47108c5f5b', '7d422abb8cee53e3286b99ddf395840f447adf29', '2c3f8368ef311e8f62dcc968d979a315e238518b', '7985c90aa73b64dd38fc47009dcc4ad7a3dcf6de', '8702882a633a97b7c92fa4ff37f35618c3d041fe', '2bc6029078a4815faefe41d81340643345038fca', '11368ac3d4333dfdf4f0f99fbf3f5255ffbdf0b1']","Accidental awareness during general anaesthesia is a major complication. Despite the routine use of continuous electroencephalographic monitoring, accidental awareness during general anaesthesia remains relatively frequent and constitutes a significant additional cost. The prediction of patients’ arousal during general anaesthesia could help preventing accidental awareness and some researchers have suggested that heart rate variability (HRV) analysis contains valuable information about the patient arousal during general anaesthesia. We conducted pilot study to investigate HRV ability to detect patient arousal. RR series and the Bispectral IndexTM (BISTM) were recorded during general anaesthesia. The pre-arousal period T0 was defined as the time at which the BISTM exceeded 60 at the end of surgery. HRV parameters were computed over several time periods before and after T0 and classified as “BISTM<60” or “BISTM≥60”. A multivariate logistic regression model and a classification and regression tree algorithm were used to evaluate the HRV variables’ ability to detect “BISTM≥60”. All the models gave high specificity but poor sensitivity. Excluding T0 from the classification increased the sensitivity for all the models and gave AUCROC>0.7. In conclusion, we found that HRV analysis provided encouraging results to predict arousal at the end of general anaesthesia."
95a8e1ba80e5ede7ae959b32b562be84bce45725,,,,0,[],
ea7efe05a3add11b9db1e4c3b7aef932a19efcbd,Heart rate variability (HRV): an indicator of stress,Balvinder Kaur; J. Durek; B. O'kane; Nhien Tran; S. Moses; Megha Luthra; V. Ikonomidou,2014.0,22,[],
9cd8edb72c4cc48ec824e3f9369d0dc962e6f9c1,"Preprocessing Methods for Ambulatory HRV Analysis Based on HRV Distribution, Variability and Characteristics (DVC)",M. Benchekroun; B. Chevallier; D. Istrate; V. Zalc; D. Lenne,2022.0,11,"['377b30ba00856abc12bfc222db404a8b71cd057a', 'bde241fcc95f8320e79c78eef8a8241103571a59', '7f08c779748e37194e98de4230f53c19de5b3c68', '6a574085fb010873dafc8ceacbc1efe7c3b578f1', 'babe151ad69e8d09a69efd1b394e27b7aa63ed12', 'd0e23ae6e2458742360fdf748b9c7f203219c430', 'ecdd6c58160e926deb34db1299444e32b83308a4', '303d5c4bd2de7d02f53f43b33ec92f50c91e67bd', '3b8894833e8ba1b659f99c5d19bb3c2bd54cc1ca', '08599f80a58366e274bc9c83c5c4e1078b57ff8a', '6bce97585cb231fb9bccd64b47256de4947ac1a1', '4281b6c077234758b35d461f2a711488e355b821', '06c6db7c6fce07e81706c576528ce06b91fb7518', 'e192bef299385fe7aec994e72e5966eb25fc5a33', '7c9136dd11b9de721169f15058df030574e8d18f', 'f1078046af67a3cd2578937bd2e543c4c1509b77', 'e6a264024ac2f723fd15b4f443e3349d5df85280', 'a59226f203a73d30de85a97961506cad9525ab68', '25aa2b87bd8a154c79f36048fdb38db07b6134ae', '8429535216a587aca95c60de485d5c0afc8cca86', 'c942960c099ec181c752101359f350e5d960dff3', '7a557cd5ca5542448d2a146b5332369f426d98a8', '06c34ed878f059ce891417855190fcb86d3a0dac', '4931c608ccc857c1c7bb6e52528a06815cb8a138', '32ff08907eda77fe5ecd52df15587f49ef50c3a1', 'a017c6636f3eda53bd112cdf9c8c4c2f37e5dfc2', 'd0967575e345e153b15ea9d3ef318eb77231e4d0', '6af7be9a0e68a56460e24a8ec4034eef46345583', 'b56f99dff5ebf0498f0e902f7b022cbfb0d55746', '21205539eb7320503916fc5e381afeefdffb99fe', '4ae0f3c083290f59f7e3bd85db0d381017370acc', '4c2cf9220e165a56dbb2d7a47982e0aad93b426a', 'b79328ac1deef5d2dcea314bd2a48d10da9673a1', 'af0ab3bd36d9649fc8ff3f2a2295cad6eaa2656e']","Thanks to wearable devices joint with AI algorithms, it is possible to record and analyse physiological parameters such as heart rate variability (HRV) in ambulatory environments. The main downside to such setups is the bad quality of recorded data due to movement, noises, and data losses. These errors may considerably alter HRV analysis and should therefore be addressed beforehand, especially if used for medical diagnosis. One widely used method to handle such problems is interpolation, but this approach does not preserve the time dependence of the signal. In this study, we propose a new method for HRV processing including filtering and iterative data imputation using a Gaussian distribution. The particularity of the method is that many physiological aspects are taken into consideration, such as HRV distribution, RR variability, and normal boundaries, as well as time series characteristics. We study the effect of this method on classification using a random forest classifier (RF) and compare it to other data imputation methods including linear, shape-preserving piecewise cubic Hermite (pchip), and spline interpolation in a case study on stress. Features from reconstructed HRV signals of 67 healthy subjects using all four methods were analysed and separately classified by a random forest algorithm to detect stress against relaxation. The proposed method reached a stable F1 score of 61% even with a high percentage of missing data, whereas other interpolation methods reached approximately 54% F1 score for a low percentage of missing data, and the performance drops to about 44% when the percentage is increased. This suggests that our method gives better results for stress classification, especially on signals with a high percentage of missing data."
82c796924524f8d7c81e2b018c2e0e6ab4bb427b,,,,0,[],
e9aa5394f01bd93a96b9676beff12f9ae2b86709,,,,0,[],
6a82e83f81d051e1daef9fb942c4e3fc1098758c,Enhancing Detection Accuracy for Clinical Heart Failure Utilizing Pulse Transit Time Variability and Machine Learning,Lina Zhao; Chengyu Liu; Shoushui Wei; Changchun Liu; Jianqing Li,2019.0,14,"['17c22dd7ca5dac88f0589a18ad21d65ebfc6aacb', '1a39780a52ba7c2e19f95f75cf9878fe94ff4b83', 'af00f2ac5b8196534db14b97d2fe1f4fbbad152a', '71f6aecfdaac53a35870dfdcc627703a44d39eb6', 'a2941d35d109944f3f7525f79f59612a9f26feae', 'e70077b9db545706d9399fa54ab468a4f9f0f408', 'c91b86f6e68c7a567efb3fbfe099c14202979ed2', '3ccf9f98e71b332b18542a39ba7e79da678b0ec5', '768aeaa27a070b19fca77536de178790fd76cd8b', '814d3223e134fba919c9fc3c2cd10ca10ff00e7f', '152b9d7df4a7d0a800c9d1ba17d381d9b24e0dc0', 'f3ce2f64c65d9c660853ec56e3694d962424fdb5', 'fb068d93a176185968ac84271d4719b29606e5cc', '4ea9a8106b0d12e90e6e8474ab9e23511b105568', '7f86fbd440a16a498d1f6cc2359cfd0d28df8fb1', '273dfbcb68080251f5e9ff38b4413d7bd84b10a1', 'c1b4bc43fc2274fa998dc13e2f914852d15f1b77', 'a57a499648bc005d6f9039b823b80fb284191fd7', '9296dadb19e0ca3bf8f73bb757f376b52121fc4f', '8d6325f3c038b1725e4be1434c77bdfd0bf93b75', '34e01134fe8253046180a4cbf8f52c750f948a85', '306e64e52346bb999317673020c4df656d4da9c1', '0f306df79242e32309d52525d347c264c2f6466d', '015dd2b7e08f8cf4b37c4d5c1438509783756b83', '3d0695b0d779ed9db3f9185fc8c0afa9f0fc057f', 'bd236fdb9cd17581ad69c98dc79e9f589ca74bad', 'e5103d8312d9e5bbd8adb47bb65005127f3ba274', '99f16393e7111931ae57540e95f6d67352da983b', 'b2895c22fa8af7a3eddf1ebf0bedbd66fc5d3fcf', '233cab6da1551260421f1297dc3c0b5b79a6caf4', '4d02f5b61c7cac3cfef3ff5de214430f75867ab2', 'de20c369920a074b22eeaee96254462f2d0f434d', '5ce1b2368ebb184f5bbe8501fa6e3a05641c174e', 'eaabd3cad1d7d0a0556c5e539dafcbef4fdff837', '1a9ff4e9774ef25bf88bd9097e49657280e81f1b', '193403ed577e44674f248fe7f28763932e7d5ab2', '44b6b4d2213269a60df428032da12498a14f8017', '0ec4e333eb9100367f87e2747d85f646cac1af58', '2913c2bf3f92b5ae369400a42b2d27cc5bc05ecb', '881c3f0112989629330425eda81326053d71410d', '49479353111c9cd6884a2fab55f041139d671af7', 'a842fd28a9cea53a0dba1625149a0d69ccc36bf2', 'bd5595373c6c7567a0a7658d55447ab2b1dc94c8', '6295637fb36b9f12f80aff98ae9f8a4392c57645', '5952458a5eea85791dc1933f3a26d214a86207e4']","Physiological signal variability can offer important insight into cardiovascular activity and clinical cardiovascular diseases. Heart rate variability (HRV) and pulse transit time variability (PTTV) are two important time series variabilities. However, combining HRV and PTTV can enhance the classification accuracy for heart failure which is unknown. In this paper, a simultaneous analysis of HRV and PTTV performed on both normal subjects and heart failure patients, was carried out, aiming to investigate the improvement of HRV-based heart failure detection with the assistant of PTTV analysis. Forty normal subjects and forty heart failure patients were enrolled. Standard limb lead-II electrocardiogram and radial artery pressure waveforms were synchronously recorded. HRV and PTTV analysis were performed on the acquired RR and PTT time series using the standard time- (MEAN, SDNN, and RMSSD), frequency- (LF, HF, and LF/HF), and non-linear (SD1, SD2, sample entropy, and fuzzy measure entropy) domain indices. The results showed that all HRV indices except MEAN (P = 0.1) and LF/HF (P = 0.9) showed significant differences (all P <0.01) between the two group, while only MEAN in PTTV significantly decreases in heart failure patients (P < 0.01). Moreover, when combined the HRV, PTTV indices, and the predicted probabilities generated from the distance distribution matrix-based convolutional neural network models, the highest classification performances were achieved by a support vector machine classifier, outputting a sensitivity of 0.93, a specificity of 0.88, and an accuracy of 0.90. This paper demonstrated the potential of PTTV analysis for the detection of clinical heart failure."
22cb1ae8be05fae52b7dbb2ea3a429ce6f04739d,,,,0,[],
4ba4b2964b9785da6f8745ac1a40f945b175e32c,Comparison of ECG Between Gameplay and Seated Rest: Machine Learning-Based Classification,Emi Yuda; Hiroyuki Edamatsu; Yutaka Yoshida; Takahiro Ueno,2025.0,0,"['8ffdb0dbb0aef7f8276a4ecda7be01e8cc070ed7', '415c98080462ea06ac47c41d8d121e73d4e64f49', 'd55ce30a6505e2f756af58fe03d334eac4250e75', 'fe63c71a7b2322f9cceb24a7de20fb20d3b12672', '48c5bd1fdb843b4a33466393342b94b21694b928', '52c48a39eee86cef73a6b64509d1f52fa87e6287', 'cd487248eba9473e0946440578a5ba1b0b612dba', 'cd05f4bc087bf9191524b77e0ccb2b65ee15bf8a', '18dfbee80b1c3f32e7a3fd32f2403f6e357ae1ea', 'd7bbcd4a30df2df64346d28206e22a12ce408f65', '4c91a93d38b846b30bf9295bc0048ac557f4b40b', 'ee37e3289f47a720902159ab8a665c45772d616e', '8c8b9ff5b49d6a7c3fefc6767f5a5c18a8d088b9', 'e41c6f991a673610f6c9870affa83b92c5eebec4', '10ea7e43feff7ff686c87f15388be139a3dfd22c', 'fe530fd0cc043a99a26a6b8494f29af8045eae61', '676f2216f1fad0eb993fdf2b45de8cbb4deda9f8', '9b40494029dbd430e34b23f3dce02927491082e6', 'a2061551d3931ebc6e81778c2e9cefa81578af08', '8f96b3cee361b4a1d1bb6d075512f5b188738020', '3a67d53ba9c3895d6269874e6dd4a71c54576bdb', '6b75783cfb0592df7cf3c49e09deba8a5a272f3c', '1a62363af6cc939df10f8eca826af55473dc1dd1', '5dfc347aff45967071f375ab2c205ea801e45e1d', '84cea3ba14df4f2704f0ced82a8641a81a1a2a75', 'c979b6f5b73a5e018f2ab8cf67fda582b8dcc705', 'b6c4095e0972e2ba1979e42964aa4d795fff4ec8', '8bf6882ace6b88f80d2bb19f0c509eec7f5e9f78', '6353473efe283e6cdcb80eb550b07b06500d31d9', '85e179bab89dc3ace79fcdee3cc210cdcd264d68', '26feca29b05ac2abb7841f3a4172d0c28583ca33', '7582e26105e37fcf63ce21dc05734cf7878a268d', '82cf74c4246e5d078ce320ab6e417dbc4f3a66f3', '4bd506c34d41faa81dfb2e164c5b83714c2eccfc', '0defd894180b9d9782bf4d44f502f3ec3cd16b30', 'd11f1651dc20a64965820d9f2cbdf9f2d1f7aead', 'a8e3b9fccf211d3b202ef0acde71a63cada6d28f', '0091ff1bf2c852336eb091ef39f5c1fbc0269899', '6ef9ec4fa643c1154c0bffe08664fd8f2985a06e']","The influence of gameplay on autonomic nervous system activity was investigated by comparing electrocardiogram (ECG) data during seated rest and gameplay. A total of 13 participants (6 in the gameplay group and 7 in the control group) were analyzed. RR interval time series (2 Hz) and heart-rate variability (HRV) indices, including mean RR, SDRR, VLF, LF, HF, LF/HF, and HF peak frequency, were extracted from ECG signals over 5 min and 10 min segments. HRV indices were calculated using fast Fourier transform (FFT). The classification was performed using Logistic Regression (LGR), Random Forest (RF), XGBoost (XGB, v2.9.2), One-Class SVM (OCS), Isolation Forest (ILF), and Local Outlier Factor (LOF). A balanced dataset of 5 min and 10 min segments was evaluated using k-fold cross-validation (k = 3, 4, 5). Performance metrics, including recall, F-score, and PR-AUC, were computed for each classifier. Grid search was applied to optimize parameters for LGR, RF, and XGB, while default settings were used for the other classifiers. Among all models, OCS with k = 3 achieved the highest classification accuracy for both 5 min and 10 min data. These findings suggest that machine learning-based classification can effectively distinguish ECG patterns between gameplay and rest."
ac1829132df2c781105a1f6d7791a47e1cdb9fc2,"Advanced methods of heart rate signals processing and their usefulness in diagnosis support. I, Mathematical heart rate descriptors and virtual instrumentation",J. Moczko,2002.0,7,"['7877562495742bbe7f9bbfdd22b3c385d46c706e', 'cc33db83a21e71b409a1e5b31dc6e177076e968a']","The working heart is the source of electrical signal which carries the basic information about homeostasis process of human being. After appropriate acquisition and preprocessing electrocardiogram (ECG) signal may be analyzed in different ways revealing not only current status of atrial and ventricular electrical activity of heart muscle but also information about sympathetic and parasympathetic nervous system, thermoregulation and vasomotor tone, renin-angiotensin control systems, baroreceptor reflex and blood pressure regulation, respiratory activity etc. Heart rate variability (HRV) defined as a timing of the sequence of QRS complexes is one of the most promising quantitative markers of autonomic activity. Different mathematical indices in time and frequency domain were designed to extract full details valuable for diagnostic purposes. Presented paper is the first one of the series of articles describing mathematical methodology of heart rate (HR) signal processing and further classification of obtained markers. The ultimate goal is to find optimal set of HR descriptors which support diagnosis in different cardiac pathologies. 1 . I N T R O D U C T I O N Electrocardiogram is one of best known and deeply analysed biomedical signals. Direct approach based on examination of changes in the temporal durations of the segments between deflections, intervals between waves, their relative amplitudes is the essential way of interpretation of the ECG wave patterns. A wide spectrum of various mathematical methods in time, frequency and joined time-frequency domains are used to extract most distinctive features of the ECG which may be used as the markers in different pathologies. These markers should have not only the best sensitivity and specificity, but they should be maximally noninvasive, readily available and inexpensive. The intensive research proved the existence of significant relationship between the autonomic nervous system and cardiovascular mortality. Heart rate variability (HRV) estimated as the recurrent changes in R -R intervals can be good prognostic indicator for large amount of different disease states. Decreased HRV is a powerful predictor of arrhythmic complications and cardiac death. It is treated as a versatile test to determine risk stratification and supports the choice of treatment strategies. Tens of different HRV indices vere designed for assessing the integrity of cardiovascular homeostasis. Some of them (i.e. SDNN, RMSSD, HRV triangular index in time domain 66 Advanced Methods of Heart Rate Signals Processing or LF, HF, LF/HF ratio in frequency domain) are most frequently used in clinical practice due to relatively simple interpretation and good prognostic properties. Comprehensive review of these indices prepared as task force of the European Society of Cardiology and the North American Society of Pacing and Electrophysiology may be found in [1], Teich et al. [2] examined suitability for correctly classifying ECG records as normal or representing the presence of cardiac dysfunction on the basis of sixteen different HRV measures. These papers were the inspiration for further investigations on HRV indices properties, which we performed in cooperation with Cardiology Department of our university. Presented paper is the first one of the series presenting different mathematical approaches to diagnosis support. We present virtual instrumentation designed for ECG signal acquisition and processing. This instrumentation is the source of the set of thirty six HRV descriptors in time, frequency and joined time-frequency domain estimated for normal or pathological ECG recordings. The obtained database allows for checking the suitability of particular indices for discrimination patients with different cardiac pathologies from normal subjects. The difference between Teich et al. and our results yields from the fact of using multivariate instead of univariate approach. Various classification methods (multivariate statistical techniques such as general discriminant analysis, classification and regression trees, artificial neural networks, generation of relevant fuzzy rules) and their usefullness in diagnosis support is discussed. 2 . H E A R T R A T E V A R I A B I L I T Y I N D I C E S The mathematical structure of most known HRV indices is based on statistical parameters such as arithmetic mean value, standard deviation, interquartile range. Some of them are estimated directly from R -R intervals, the other incorporate heart rate (HR) values calculated with hyperbolic dependence where TR_R is expressed in miliseconds, HR in beat per minutes (bpm). One can divide them into three subgroups: 1) long-term variability indices which describe slow changes in HR (low frequencies), 2) short-term variability indices describing changes in consecutive R-R intervals (high frequencies), 3) total variability indices taking into account all sources of variation (full band spectrum). The group of time domain measures (not directly related to specific cycle length) include following indices: 1) SDNN index is defined as standard deviation of subsequent R -R intervals. This measure is sensitive to all sources of variation (both longand short-term variability)."
5b57ae3f17098375a229fb0c4c57d2d9861c4d63,Diagnosis of Cardiac Diseases Using Ranked Parameters for Machine Learning,Shashi Kant Tiwari; S. Sinha; K. Sekhon; R. Singh,2023.0,0,"['96cc3810a65093a78893573bbc266df6b6cd8799', '4ab641943a81f2d9e2999f3f94adb0812600b816', '8743a15c59720e22427a99ec130f32e843cca92e', '41f2c07a56536c2b4f76909f23bfb397c9e98c6c', 'd758ff5df4cfaa99036831f8903a0597e787c411', 'ed4e71df01d07c6ff1e87107853fc22a37350cfd', '1d0b94641dadd41d6bb2242c217390697a87923d', '974481ea1c7d280288720aa33e444bce287e6e9e', '53b9e963e8b58b9b58c69186bc1fe59a905907f2', 'ada70e811df0b1887839ff888c7b990190421d77', '902df888f0aa8a966b6b74d98a610d4c633226e1', 'fc83bd1852bfedea74724f8da3cd1bc736ad2403', '76241784c14e30c8ab660ace3b1625df09d3f8f2', 'ecb1827d63366d65380c743e8138b080d23b8bd8', '35baa9c245d468d33545822ea336fcbb0ad1d838', '8429535216a587aca95c60de485d5c0afc8cca86', 'e297bf02cc80aaa33e60ef0598ab526f8d605a5e', 'ae5098079d712b32d1a3c398f36c3452141f0579', 'd1bcd047a8688917b543bb93f9e719aa31c7008c', '2d8f0edd370b89f58b9fb9adedc85bca97251fad']","Abstract: This paper introduces an innovative approach to evaluate the classification performance of parameters derived from diverse spectral and nonlinear investigation methods in the analysis of cardiac heart disease using ranking techniques. The objective of this study is to identify the most suitable methods for application in a clinical setting. Ranking methods are employed to assign ranks to features extracted from heart rate variability (HRV) data by spectral and chaos investigation methods, organizing them based on their clinical significance. Initially, 30 and 10 different features are extracted from HRV time-series signals using popular HRV analysis methods, including spectral and nonlinear investigation techniques. Among these, 5 spectral features are derived from the auto-regression (AR) model, 15 from multiscale Wavelet packet (MSWP) decomposition, and 10 from higher-order spectra (HOS). The top ten features from each method are selected and ranked using Fisher score, Wilcoxon, receiver operating characteristics (ROC), entropy, and Bhattacharya space methods. Numerical results demonstrate that features at the third level of MSWP decomposition exhibit the lowest p-value (<<0.0001). Given that features with the lowest p-value possess the highest discrimination ability, the third-level MSWP features outperform other features extracted by AR and HOS spectral methods in HRV dataset analysis. Furthermore, features such as CD, DFA:α₂, ApEn, SaEn, and SD1/SD2, derived from chaos investigation methods, consistently display the lowest p-values compared to all considered features. Consequently, these features are identified as optimal choices for HRV analysis of datasets."
9b8d9b8a5d40983291d2299d332408d625d771bb,Remote stress detection using a visible spectrum camera,Balvinder Kaur; S. Moses; Megha Luthra; V. Ikonomidou,2015.0,17,[],
03cb22c243041a036be927b0c25aeaef5475a359,,,,0,[],
b632140a67a373b3515e01e1f4183fce803869cc,Robust Algorithmic Detection of Cardiac Pathologies from Short Periods of RR Data,V. Gavrishchaka; O. Senyukova,2013.0,11,[],
0a8519b07c4499d61a83368672d58abca6c0eefd,,,,0,[],
